"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-R81XDDE",7,26,5,24,55,54,54,78
"tRF-16-R9593KD",1,0,0,0,0,0,0,0
"tRF-16-R95R3JB",1,0,1,0,0,0,0,0
"tRF-16-R95R3LD",1,0,0,0,0,0,0,0
"tRF-16-R95RM3E",0,0,0,0,0,1,0,0
"tRF-16-R95RMJ0",0,1,0,0,0,0,0,0
"tRF-16-R9JP9PD",0,1,0,0,0,0,0,0
"tRF-16-R9O1NID",0,0,0,0,0,0,1,0
"tRF-16-R9O9330",6,0,7,1,3,0,3,1
"tRF-16-R9O933B",1,0,1,0,0,0,0,0
"tRF-16-R9ODMJ0",0,0,2,0,0,0,1,1
"tRF-16-RERNLND",0,1,2,2,0,2,2,3
"tRF-16-RKIP4O0",0,0,0,1,0,0,0,0
"tRF-16-RKVPNPD",0,0,0,0,0,1,0,0
"tRF-16-RLQ4PU0",0,0,0,0,0,0,0,1
"tRF-16-RLXN48E",4,3,4,2,6,6,2,1
"tRF-16-RPFQJDE",3,0,1,0,0,1,0,3
"tRF-16-RPM830D",31,20,42,24,28,38,30,32
"tRF-16-RPM830E",10,9,10,8,9,11,7,11
"tRF-16-RQ59W3E",0,0,3,0,0,0,0,0
"tRF-16-RRX3W0D",1,0,0,0,0,0,1,0
"tRF-16-RSX3W0D",0,0,1,0,0,0,0,0
"tRF-16-RUSMKVD",1,0,0,0,1,0,0,0
"tRF-16-RX6NMHD",4,3,0,1,2,2,3,3
"tRF-16-RXSINHE",2,5,5,1,5,1,3,6
"tRF-16-RXSMKVD",0,0,0,0,0,0,1,0
"tRF-16-RY73W0D",0,0,1,0,0,0,0,0
"tRF-16-RZ81JJ0",1,0,0,0,0,0,0,0
"tRF-16-RZKSLP0",0,1,0,0,1,0,0,0
"tRF-16-S2PMFIE",0,0,0,0,0,1,0,0
"tRF-16-S3M830E",23,11,17,15,9,5,8,10
"tRF-16-S3S3R6E",0,0,0,0,0,1,0,0
"tRF-16-S4113KE",3,1,1,2,1,2,0,0
"tRF-16-S41M3KE",0,0,0,0,1,1,0,0
"tRF-16-S45J7KE",0,0,0,0,0,0,1,0
"tRF-16-S4I7MNE",0,0,0,0,0,0,1,0
"tRF-16-S5QKF10",2,0,0,0,0,0,0,0
"tRF-16-S5R830E",4,1,6,1,1,5,2,1
"tRF-16-S5S8R6D",0,0,1,0,0,0,0,0
"tRF-16-S8V0J60",0,1,0,0,2,0,1,0
"tRF-16-S8V0J80",1,0,1,0,0,1,0,0
"tRF-16-S998LOE",0,0,1,0,0,0,0,0
"tRF-16-SMKVNMB",0,0,0,0,0,1,0,0
"tRF-16-SQ2WW1E",0,0,0,0,0,1,0,0
"tRF-16-SSXUOLD",0,0,0,1,1,0,2,1
"tRF-16-SV9NLND",0,1,0,0,0,0,0,0
"tRF-16-U00KRX0",0,1,0,1,1,2,0,0
"tRF-16-U97PVPE",0,0,1,0,0,0,0,0
"tRF-16-UE15MXB",0,0,0,1,0,0,0,0
"tRF-16-UEDP5IE",0,0,0,1,0,0,3,1
"tRF-16-UKM759D",1,0,0,0,0,0,0,0
"tRF-16-UMX0SW0",1,0,1,1,4,2,1,0
"tRF-16-V2Y8L9E",3,2,7,2,3,4,5,1
"tRF-16-V4V4SQD",0,0,0,0,0,0,1,0
"tRF-16-V4VH7QD",0,0,1,3,1,0,0,0
"tRF-16-VH915H0",0,0,2,1,0,2,1,1
"tRF-16-VIZKXXB",0,0,0,0,1,0,0,0
"tRF-16-VKXZFYE",1,1,0,0,2,0,1,0
"tRF-16-VL3NBZD",0,1,0,0,2,0,0,0
"tRF-16-VUY9Q90",1,0,0,0,0,0,0,0
"tRF-16-VUY9RZ0",0,0,1,0,0,0,0,0
"tRF-16-VW3H93E",0,0,2,2,0,0,0,1
"tRF-16-W36JIKB",0,0,1,0,0,0,0,0
"tRF-16-W3FJHPB",15,10,9,7,15,12,1,8
"tRF-16-W3FJIKB",51,45,41,19,44,39,18,27
"tRF-16-W47W1R0",0,2,0,0,1,1,3,11
"tRF-16-W631QJE",0,0,0,0,0,0,0,1
"tRF-16-W6VM4JD",0,1,0,0,0,1,0,0
"tRF-16-W7WK6W0",0,0,3,0,0,0,1,1
"tRF-16-W9RKM80",0,0,2,0,0,0,0,0
"tRF-16-WB08P2B",0,1,0,0,0,0,0,0
"tRF-16-WB08Q2B",0,0,1,0,0,1,1,0
"tRF-16-WE884UB",0,0,0,0,0,1,0,0
"tRF-16-WE8RO80",2,0,0,0,0,2,3,0
