"","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"tRF-17-4ZFVF8M",1,0,0,1,0,0
"tRF-17-50SRRN2",0,0,0,0,0,1
"tRF-17-54QFQ2H",1,0,0,1,0,0
"tRF-17-54RNZFN",1,0,0,0,0,0
"tRF-17-596VW6J",23,7,142,19,10,21
"tRF-17-596VZ6J",0,0,0,2,0,0
"tRF-17-5L8RPY5",1,3,4,0,0,0
"tRF-17-5LDOV2M",1,0,0,0,0,0
"tRF-17-5VF3R3Q",2,0,0,2,0,0
"tRF-17-5WF918O",1,0,1,1,0,0
"tRF-17-5XR4NP3",0,1,0,2,0,0
"tRF-17-5YJ3W05",0,0,0,0,1,0
"tRF-17-60MV9JJ",4,1,3,6,9,1
"tRF-17-623K7SI",1,0,0,0,0,0
"tRF-17-64VIJ4N",0,0,0,1,1,0
"tRF-17-6HFVQ81",0,1,0,5,2,0
"tRF-17-6L1HWU3",23,5,5,10,7,1
"tRF-17-6NMH491",3,0,0,1,0,1
"tRF-17-6VW631M",0,0,1,0,0,0
"tRF-17-6Y18Y0M",0,0,0,0,1,0
"tRF-17-709R3MP",0,0,2,0,0,0
"tRF-17-70VR31P",3,11,40,2,2,3
"tRF-17-70VRN1P",0,0,0,0,1,0
"tRF-17-739P8WM",2,1,4,1,0,0
"tRF-17-73FJP43",7,4,0,3,2,0
"tRF-17-73FJQ43",6,2,0,0,3,0
"tRF-17-73FJQH3",1,0,0,0,0,0
"tRF-17-73IEWS3",1,1,6,0,1,0
"tRF-17-73V2Y8K",12,2,11,9,4,0
"tRF-17-73V6M7M",0,0,3,1,1,1
"tRF-17-741M3KQ",0,0,2,0,0,0
"tRF-17-76D7M4L",0,0,5,0,0,0
"tRF-17-76RSJM5",1,0,4,2,2,0
"tRF-17-78WP9LP",3,2,119,14,1,17
"tRF-17-79MP9PK",0,1,4,0,0,0
"tRF-17-7JPJ60K",0,3,0,2,0,0
