"","X.miRNA","precursor","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"2537","hsa-miR-6835-5p","hsa-mir-6835","0","3","0","0","0","0"
"2538","hsa-miR-6835-3p","hsa-mir-6835","0","0","0","0","0","0"
"2539","hsa-miR-6836-5p","hsa-mir-6836","2","2","0","0","0","1"
"2540","hsa-miR-6836-3p","hsa-mir-6836","0","0","0","0","0","0"
"2541","hsa-miR-6837-5p","hsa-mir-6837","2","1","7","0","1","0"
"2542","hsa-miR-6837-3p","hsa-mir-6837","52","13","89","31","16","17"
"2543","hsa-miR-6838-5p","hsa-mir-6838","0","1","7","1","0","0"
"2544","hsa-miR-6838-3p","hsa-mir-6838","0","0","0","0","0","0"
"2545","hsa-miR-6839-5p","hsa-mir-6839","0","1","0","2","0","0"
"2546","hsa-miR-6839-3p","hsa-mir-6839","0","0","0","0","0","0"
"2547","hsa-miR-6840-5p","hsa-mir-6840","1","2","0","1","0","0"
"2548","hsa-miR-6840-3p","hsa-mir-6840","0","0","0","0","0","0"
"2549","hsa-miR-6841-5p","hsa-mir-6841","28","7","29","20","16","11"
"2550","hsa-miR-6841-3p","hsa-mir-6841","0","0","0","0","0","0"
"2551","hsa-miR-6842-5p","hsa-mir-6842","0","0","0","0","0","0"
"2552","hsa-miR-6842-3p","hsa-mir-6842","0","3","0","1","1","2"
"2553","hsa-miR-6843-3p","hsa-mir-6843","2","0","0","0","0","0"
"2554","hsa-miR-6844","hsa-mir-6844","0","0","0","0","0","0"
"2555","hsa-miR-6845-5p","hsa-mir-6845","2","1","0","2","1","0"
"2556","hsa-miR-6845-3p","hsa-mir-6845","0","0","0","1","0","0"
"2557","hsa-miR-6846-5p","hsa-mir-6846","0","0","0","0","0","0"
"2558","hsa-miR-6846-3p","hsa-mir-6846","0","0","0","0","0","0"
"2559","hsa-miR-6847-5p","hsa-mir-6847","6","3","16","14","4","8"
"2560","hsa-miR-6847-3p","hsa-mir-6847","0","0","0","0","0","0"
"2561","hsa-miR-6848-5p","hsa-mir-6848","1","0","0","0","0","0"
